1218554468995253,ef3b3dd2a012,-82
1218554471764212,ef3b3dd2a009,-89
1218554487178692,F80332EDA645,-100
1218554489534213,E7B2D23D89EC,-85
1218554531652811,ef3b3dd2a016,-101
1218554535025364,ef3b3dd2e009,-93
1218554538797239,ef3b3dd2a013,-97
1218554541359062,ef3b3dd2a008,-92
1218554542516615,ef3b3dd2e003,-96
1218554580642712,ef3b3dd2a014,-84
1218554594570995,ef3b3dd2e006,-98
1218554596765943,ef3b3dd2e007,-100
1218554608677975,ef3b3dd2e008,-99
1218554609400996,C69294C41E47,-101
1218554613686934,ef3b3dd2a020,-88
1218554647843708,E9BDCC7D8FE6,-101
1218554654420688,ef3b3dd2a002,-83
1218554689458400,F80332EDA645,-101
1218554694894494,E7B2D23D89EC,-87
1218554710406840,ef3b3dd2a018,-99
1218554728709550,ef3b3dd2a015,-95
1218554729476060,ef3b3dd2a016,-99
1218554735264290,ef3b3dd2e007,-100
1218554742837312,ef3b3dd2a013,-101
1218554782760336,ef3b3dd2a005,-93
1218554791155754,ef3b3dd2a014,-82
1218554813852214,ef3b3dd2a020,-88
1218554870236908,ef3b3dd2a012,-81
1218554897326337,F80332EDA645,-102
1218554900648004,E7B2D23D89EC,-90
1218554951052124,ef3b3dd2a013,-94
1218554988222492,ef3b3dd2a005,-89
1218554996061816,ef3b3dd2e001,-100
1218554999251139,ef3b3dd2a014,-81
1218555003843483,ef3b3dd2e007,-101
1218555063586406,E9BDCC7D8FE6,-101
1218555068414219,ef3b3dd2a002,-85
1218555075319376,ef3b3dd2a012,-81
1218555090281721,ef3b3dd2a009,-93
1218555101700733,E7B2D23D89EC,-86
1218555165105270,ef3b3dd2e009,-98
1218555173919282,ef3b3dd2a006,-95
1218555179307459,ef3b3dd2e003,-99
1218555200645430,ef3b3dd2e001,-100
1218555203051680,ef3b3dd2a014,-84
1218555217523140,ef3b3dd2a020,-92
1218555273244135,E9BDCC7D8FE6,-102
1218555275234292,ef3b3dd2a002,-89
1218555294241533,ef3b3dd2a009,-91
1218555304436951,E7B2D23D89EC,-88
1218555329203047,ef3b3dd2a018,-96
1218555336968673,ef3b3dd2a015,-89
1218555343533413,ef3b3dd2a011,-102
1218555358339560,ef3b3dd2a008,-93
1218555373141593,ef3b3dd2a006,-99
1218555377854927,ef3b3dd2e009,-96
1218555392755189,ef3b3dd2e003,-97
1218555409559149,ef3b3dd2a014,-85
1218555414050764,ef3b3dd2e007,-101
1218555423270973,ef3b3dd2a020,-93
1218555432451443,ef3b3dd2e008,-102
1218555438180558,ef3b3dd2e006,-94
1218555515940514,F80332EDA645,-103
1218555531423901,ef3b3dd2a018,-97
1218555543539370,ef3b3dd2a015,-91
1218555545085152,ef3b3dd2a016,-100
1218555546273589,ef3b3dd2e007,-98
1218555564672133,ef3b3dd2a008,-92
1218555577135207,ef3b3dd2a013,-94
1218555580379270,ef3b3dd2a006,-98
1218555581736041,ef3b3dd2e009,-96
1218555600480887,ef3b3dd2e003,-94
1218555608100627,ef3b3dd2a005,-93
1218555611979325,ef3b3dd2e001,-100
1218555629873077,ef3b3dd2a020,-98
1218555635338859,ef3b3dd2e008,-98
1218555648901985,ef3b3dd2e006,-103
1218555672215008,ef3b3dd2e007,-105
1218555714315794,E7B2D23D89EC,-93
1218555733886577,ef3b3dd2c001,-104
1218555744355068,ef3b3dd2a015,-93
1218555746259964,ef3b3dd2a016,-92
1218555771604029,ef3b3dd2a008,-104
1218555828086534,ef3b3dd2e001,-93
1218555833895649,ef3b3dd2a020,-102
1218555838377629,ef3b3dd2e008,-102
1218555852432578,ef3b3dd2e006,-103
1218555889780134,E9BDCC7D8FE6,-106
1218555901426281,ef3b3dd2a002,-94
1218555923890502,E7B2D23D89EC,-86
1218555934588264,ef3b3dd2a018,-100
1218555936631910,ef3b3dd2c001,-108
1218555951288890,ef3b3dd2a015,-89
1218555965740090,ef3b3dd2a011,-98
1218556038594993,ef3b3dd2a020,-96
1218556098227551,ef3b3dd2a012,-92
1218556104363489,ef3b3dd2a002,-93
1218556123471199,E7B2D23D89EC,-85
1218556141021201,ef3b3dd2a018,-100
1218556151864431,ef3b3dd2a015,-88
1218556172045266,ef3b3dd2a008,-94
1218556173801204,ef3b3dd2a011,-100
1218556199717925,ef3b3dd2e009,-98
1218556221819803,ef3b3dd2a005,-100
1218556244381524,ef3b3dd2a014,-86
1218556245818086,ef3b3dd2e008,-104
1218556247221732,C69294C41E47,-104
1218556296901633,E9BDCC7D8FE6,-98
1218556299055331,ef3b3dd2a012,-85
1218556311046791,ef3b3dd2a009,-98
1218556332045126,E7B2D23D89EC,-78
1218556357412368,ef3b3dd2a015,-83
1218556377676849,ef3b3dd2a008,-92
1218556382613725,ef3b3dd2a011,-99
1218556390410809,ef3b3dd2a013,-98
1218556443588210,ef3b3dd2a014,-84
1218556448385711,ef3b3dd2e008,-101
1218556463734462,ef3b3dd2e006,-91
