432838377226822,ef3b3dd2a002,-62
432838383016719,ef3b3dd2a005,-66
432838391899480,ef3b3dd2a018,-94
432838393226407,ef3b3dd2e007,-94
432838406101669,ef3b3dd2e003,-85
432838423380004,ef3b3dd2a014,-87
432838441573079,ef3b3dd2e006,-80
432838442033235,F80332EDA645,-88
432838464488706,ef3b3dd2c001,-94
432838467039071,ef3b3dd2a019,-90
432838472808551,C69294C41E47,-98
432838477563916,E9BDCC7D8FE6,-93
432838504310741,ef3b3dd2a011,-83
432838549295537,ef3b3dd2a013,-96
432838557252986,ef3b3dd2a006,-79
432838566233508,ef3b3dd2a008,-92
432838570814706,ef3b3dd2a016,-78
432838591521844,ef3b3dd2a005,-66
432838603980907,ef3b3dd2a018,-95
432838609340283,ef3b3dd2e003,-83
432838647563099,ef3b3dd2e006,-81
432838679858727,C69294C41E47,-98
432838688781958,ef3b3dd2a011,-83
432838715718106,ef3b3dd2a020,-82
432838748296078,ef3b3dd2a012,-78
432838760127590,ef3b3dd2a006,-80
432838769630299,ef3b3dd2a015,-91
432838776328008,ef3b3dd2a016,-78
432838797510458,ef3b3dd2a005,-67
432838802153583,ef3b3dd2e007,-91
432838804488323,ef3b3dd2a018,-94
432838834034107,ef3b3dd2a014,-96
432838847994838,ef3b3dd2a003,-93
432838850688953,ef3b3dd2c001,-90
432838903462916,ef3b3dd2a011,-83
432838922461304,E7B2D23D89EC,-76
432838933233857,ef3b3dd2a009,-85
432838933798857,ef3b3dd2e007,-89
432838956233599,ef3b3dd2a012,-79
432838965790683,ef3b3dd2a008,-97
432838970669225,ef3b3dd2a015,-88
432838976654799,ef3b3dd2a016,-80
432838981775685,ef3b3dd2a005,-69
432838985517664,ef3b3dd2a002,-58
432839001111989,ef3b3dd2a018,-97
432839023412928,ef3b3dd2e003,-82
432839034895898,ef3b3dd2a014,-82
432839045658191,F80332EDA645,-88
432839054756942,ef3b3dd2c001,-90
432839063970849,ef3b3dd2e006,-91
432839069341006,ef3b3dd2e007,-90
432839074845694,ef3b3dd2a019,-96
432839094773873,E9BDCC7D8FE6,-90
432839122185126,E7B2D23D89EC,-85
432839138591846,ef3b3dd2a009,-84
432839145639659,ef3b3dd2e009,-90
432839158678046,ef3b3dd2a012,-82
432839165054245,ef3b3dd2a013,-85
432839168402734,ef3b3dd2a008,-81
432839182826382,ef3b3dd2a016,-88
432839189130289,ef3b3dd2a002,-57
432839205498936,ef3b3dd2e007,-91
432839225432428,ef3b3dd2e003,-91
432839271148786,ef3b3dd2e006,-85
432839281266339,ef3b3dd2a019,-92
432839299449102,E9BDCC7D8FE6,-89
432839310932020,ef3b3dd2a011,-85
432839326247073,ef3b3dd2a020,-81
432839331905980,E7B2D23D89EC,-77
432839339606137,ef3b3dd2e007,-95
432839346693690,ef3b3dd2a009,-78
432839364099056,ef3b3dd2a012,-76
432839364736296,6859b8e6126b,-98
432839370940984,ef3b3dd2a013,-89
432839380337599,ef3b3dd2a008,-92
432839388598277,ef3b3dd2a015,-83
432839392162861,ef3b3dd2a002,-57
432839430792188,ef3b3dd2e003,-86
432839437941355,ef3b3dd2a014,-82
432839469289639,ef3b3dd2e007,-88
432839483326047,ef3b3dd2a019,-88
432839505638081,E9BDCC7D8FE6,-92
432839513818133,ef3b3dd2a011,-84
432839532058083,ef3b3dd2a020,-87
432839545733293,ef3b3dd2a009,-76
432839561230794,ef3b3dd2a012,-82
432839570691264,ef3b3dd2a013,-102
432839577139234,ef3b3dd2a008,-94
432839597641736,ef3b3dd2a016,-84
432839604289965,ef3b3dd2a015,-82
432839604904809,ef3b3dd2e001,-100
432839605506997,ef3b3dd2e007,-92
432839639712469,ef3b3dd2e003,-95
432839641864552,ef3b3dd2a014,-82
432839666299763,F80332EDA645,-85
432839681027421,ef3b3dd2e006,-85
432839692609714,ef3b3dd2a019,-95
432839708829195,E9BDCC7D8FE6,-93
432839760420866,ef3b3dd2a009,-77
432839781228421,ef3b3dd2a012,-73
432839826076758,ef3b3dd2a018,-97
432839843886187,ef3b3dd2a014,-88
432839845919677,ef3b3dd2e003,-91
432839870471971,F80332EDA645,-91
432839874842128,ef3b3dd2e007,-98
432839896463380,ef3b3dd2a019,-97
432839927768800,ef3b3dd2a011,-88
432839945698229,ef3b3dd2a020,-85
432839947741354,E7B2D23D89EC,-80
432839957414844,ef3b3dd2a009,-80
432839974552815,ef3b3dd2a012,-80
432839982490576,ef3b3dd2a008,-92
432840000085786,ef3b3dd2a006,-90
432840011420371,ef3b3dd2a016,-82
432840012132766,ef3b3dd2e007,-97
432840013716360,ef3b3dd2a015,-79
432840017928913,ef3b3dd2e001,-96
432840064168605,ef3b3dd2c001,-89
432840064789699,ef3b3dd2e003,-87
432840074152460,F80332EDA645,-100
432840098013452,ef3b3dd2a003,-83
432840099633869,ef3b3dd2e006,-80
432840126095069,ef3b3dd2a011,-89
432840134316529,C69294C41E47,-92
432840148296947,ef3b3dd2a020,-93
432840194451691,ef3b3dd2a012,-82
432840196082889,ef3b3dd2a013,-90
432840202670598,ef3b3dd2a006,-84
432840205433411,ef3b3dd2a016,-80
432840211632318,ef3b3dd2a015,-89
432840213900391,ef3b3dd2a005,-62
432840260268052,ef3b3dd2e007,-93
432840271795865,ef3b3dd2e003,-85
432840275612220,F80332EDA645,-88
432840301935295,ef3b3dd2e006,-81
432840304699306,ef3b3dd2a003,-80
432840316367276,E9BDCC7D8FE6,-90
432840342061185,ef3b3dd2a011,-93
432840348278217,C69294C41E47,-97
432840352784571,ef3b3dd2a020,-88
432840356884936,E7B2D23D89EC,-77
432840372074573,ef3b3dd2a009,-82
432840378757334,ef3b3dd2a012,-75
432840384029053,ef3b3dd2a013,-93
432840397275878,ef3b3dd2a008,-90
