431963812387564,ef3b3dd2a003,-96
431963835560066,ef3b3dd2a011,-73
431963857184027,ef3b3dd2a015,-84
431963885839655,ef3b3dd2a006,-94
431963914936689,ef3b3dd2a016,-80
431963935862628,E7B2D23D89EC,-70
431963941162056,ef3b3dd2a012,-75
431963963978881,E9BDCC7D8FE6,-88
431963969416278,ef3b3dd2a013,-81
431963977913414,ef3b3dd2a009,-76
431963979376383,ef3b3dd2a019,-89
431964017413105,ef3b3dd2a003,-97
431964021129668,F80332EDA645,-85
431964042064202,ef3b3dd2a011,-73
431964059818891,ef3b3dd2a015,-87
431964078857226,ef3b3dd2a020,-86
431964089006237,ef3b3dd2a006,-93
431964121553480,ef3b3dd2a016,-81
431964136303638,ef3b3dd2a014,-87
431964139539680,ef3b3dd2a012,-74
431964141454264,E7B2D23D89EC,-70
431964164524474,E9BDCC7D8FE6,-87
431964170933121,ef3b3dd2a002,-86
431964172949423,ef3b3dd2a013,-81
431964176482913,ef3b3dd2a009,-76
431964186760518,ef3b3dd2a019,-90
431964208721822,ef3b3dd2e003,-86
431964224786668,F80332EDA645,-87
431964243428857,ef3b3dd2a008,-73
431964252913285,ef3b3dd2a011,-73
431964327442511,ef3b3dd2a016,-82
431964342303450,ef3b3dd2a012,-77
431964343854336,ef3b3dd2a014,-86
431964374179026,E9BDCC7D8FE6,-86
431964375306422,ef3b3dd2a013,-80
431964380893402,ef3b3dd2a009,-75
431964417716426,ef3b3dd2e001,-102
431964418847156,ef3b3dd2e003,-88
431964424769031,ef3b3dd2a003,-94
431964451511690,ef3b3dd2a008,-72
431964452684190,ef3b3dd2a011,-73
431964473440442,ef3b3dd2a015,-92
431964476135651,ef3b3dd2a005,-78
431964487717475,ef3b3dd2a018,-91
431964503562789,ef3b3dd2a006,-82
431964505920914,C69294C41E47,-92
431964525589146,ef3b3dd2a016,-87
431964542719043,ef3b3dd2a012,-74
431964549147065,ef3b3dd2a014,-88
431964553924617,E7B2D23D89EC,-72
431964578468734,ef3b3dd2a002,-89
431964588884516,ef3b3dd2a009,-75
431964625335301,ef3b3dd2a003,-99
431964633521813,F80332EDA645,-86
431964648413377,ef3b3dd2c001,-101
431964654882960,ef3b3dd2a011,-72
431964656171502,ef3b3dd2a008,-74
431964675630463,ef3b3dd2a015,-94
431964681582859,ef3b3dd2a005,-80
431964704394268,ef3b3dd2a020,-92
431964711241977,ef3b3dd2a006,-85
431964711624320,C69294C41E47,-90
431964751331460,ef3b3dd2a014,-94
431964758817763,E7B2D23D89EC,-71
431964778749014,E9BDCC7D8FE6,-85
431964781787244,ef3b3dd2a013,-81
431964791018495,ef3b3dd2a002,-80
431964792337505,ef3b3dd2a019,-87
431964795887141,ef3b3dd2a009,-74
431964829904593,ef3b3dd2e003,-77
431964831407249,ef3b3dd2e001,-96
