427336749628361,E7B2D23D89EC,-87
427336795752532,ef3b3dd2a016,-78
427336797075397,ef3b3dd2e001,-97
427336803010866,ef3b3dd2a015,-92
427336809915971,ef3b3dd2a013,-90
427336925892753,ef3b3dd2a003,-96
427336932085775,ef3b3dd2a005,-85
427336937883692,ef3b3dd2a008,-88
427336997696042,ef3b3dd2a016,-80
427337005862605,ef3b3dd2a015,-91
427337010317553,ef3b3dd2e006,-67
427337039925733,ef3b3dd2a020,-102
427337047655943,ef3b3dd2a018,-91
427337127320430,ef3b3dd2a003,-96
427337142874233,ef3b3dd2a008,-89
427337151032463,ef3b3dd2c001,-100
427337156170797,E7B2D23D89EC,-95
427337182877675,ef3b3dd2e003,-93
427337204778614,ef3b3dd2e001,-98
427337208585125,ef3b3dd2a015,-88
427337211185646,ef3b3dd2a016,-80
427337217806064,ef3b3dd2a011,-90
427337223671950,ef3b3dd2a013,-93
427337242863462,ef3b3dd2a009,-83
427337254620807,ef3b3dd2a018,-89
427337264349870,ef3b3dd2a019,-98
427337319196543,ef3b3dd2a014,-95
427337332587638,ef3b3dd2a003,-94
427337353806442,ef3b3dd2a005,-87
427337360373942,E7B2D23D89EC,-98
427337378420819,ef3b3dd2a002,-75
427337392430873,ef3b3dd2e003,-94
427337409340302,ef3b3dd2e001,-97
427337411296916,ef3b3dd2e006,-66
427337415163792,ef3b3dd2a015,-87
427337419007490,ef3b3dd2a016,-80
427337423598688,ef3b3dd2a011,-93
427337425373220,ef3b3dd2a013,-90
427337525820469,ef3b3dd2a014,-92
427337542743023,ef3b3dd2a003,-92
427337545378284,ef3b3dd2c001,-91
427337555573024,ef3b3dd2a008,-92
427337560813702,ef3b3dd2a005,-84
427337570271255,E7B2D23D89EC,-95
427337600898081,ef3b3dd2e003,-93
427337617301416,ef3b3dd2e006,-64
427337620591729,ef3b3dd2a015,-88
427337626997771,ef3b3dd2a016,-76
427337633482459,ef3b3dd2a011,-94
427337636961730,ef3b3dd2a013,-89
427337685042829,ef3b3dd2a012,-87
427337729958771,ef3b3dd2a014,-92
427337744654449,ef3b3dd2a003,-94
427337748672314,ef3b3dd2c001,-91
427337766556639,ef3b3dd2a008,-92
427337770155858,ef3b3dd2a005,-82
427337778084088,E7B2D23D89EC,-90
427337792543517,ef3b3dd2a002,-76
427337828058624,ef3b3dd2e006,-67
427337841508886,ef3b3dd2a016,-74
427337875020556,ef3b3dd2a018,-86
427337888057693,ef3b3dd2a019,-97
427337891188943,ef3b3dd2a006,-84
427337898875298,C69294C41E47,-95
427337931465770,E9BDCC7D8FE6,-97
427337951730199,ef3b3dd2c001,-95
427337955507231,ef3b3dd2a003,-100
427337977930723,ef3b3dd2a005,-87
427337981713900,E7B2D23D89EC,-86
427337996889318,ef3b3dd2a002,-79
427338025798123,ef3b3dd2a015,-90
427338034335312,ef3b3dd2e006,-64
