label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	92	Pixel	TS	0.04771709807519575	0.04759232586131923	0.04756382883506186	0.04761847321120135	0.047623942348234215	0.04759800476823893	0.04760987930592829	0.04761976949787078	0.047673002841514954	0.047620068247590235	0.04757263253748232	0.04763971065796039	0.0476490788302693	0.04762415123561078	0.047598256240643066	0.047591046406916006	0.04767973005464654	0.047631856821461184	0.047500121285654714	0.04755299561951204	0.04772402731768819
AH	93	Pixel	AH	0.04771709849620582	0.04759232628122843	0.04755862219286492	0.047618473631341245	0.0476231725493887	0.04760383289060352	0.047603030943309886	0.04761976991802211	0.047667342788111744	0.04762514502898603	0.047565238624888054	0.04765830719865687	0.047628822816707786	0.04764438432158425	0.04761140922976538	0.047585220689689615	0.047685963547528555	0.0476318491289836	0.04750012170475038	0.04755299603907422	0.04770687197830884
AH	94	Pixel	AH	0.04771710046597784	0.04759826572223729	0.047558624156095	0.047618475597042006	0.04762292951464096	0.04761125949138892	0.04759657546296965	0.04761493315466254	0.047655337840740546	0.04761958727232823	0.047571313716688955	0.04765830916600197	0.04762695734193753	0.04764438628835461	0.0476239523962829	0.04758522265401769	0.04769081146358631	0.0476318510952365	0.04750012366556555	0.0475589068127096	0.04769507672153545
AH	95	Pixel	AH	0.04771710122592183	0.04759826648028872	0.047552216919350326	0.047618476355415294	0.04762293027308518	0.04761126024964728	0.047596576220994155	0.04762622402472942	0.047649202054332596	0.047619588030719216	0.04757791055508487	0.047651854196138786	0.047639838878691575	0.04764438704714055	0.047623953154743416	0.04758522341186139	0.047672887141239226	0.04763185185382281	0.047500124422053966	0.047558907570134194	0.04770121993460512
AH	96	Pixel	AH	0.04771710144302723	0.04759826669685344	0.04755221713570553	0.047618476572071966	0.04762293048976212	0.04761126046627112	0.04759657643755119	0.04762622424142134	0.04764920227112907	0.04761958824738095	0.04757791077155697	0.04765185441294732	0.047639839095445446	0.047644387263915115	0.047623953371425005	0.04758522362836677	0.047666655995141485	0.047638078883697504	0.04750012463817216	0.04755890778651984	0.04770122015163826
AH	97	Pixel	TS	0.04768497132351272	0.04759826888334166	0.04755221932007841	0.0476311040049485	0.0476229326773833	0.04761254226034186	0.047596578623961765	0.04762607117954284	0.04765580755088567	0.0476195904348486	0.04757131687600338	0.04765831233109395	0.04763984128384335	0.047644389452521946	0.04762395555909318	0.04759760783158816	0.047666150200788286	0.04763808107201454	0.047500126820152096	0.047558909971200054	0.04770122234285579
AH	98	Pixel	TS	0.047690939394815536	0.047598269154505324	0.04755221959097972	0.04762514396411396	0.04762293294868747	0.047618372013884164	0.047596578895115794	0.047632523686767514	0.047655807822377126	0.047619590706133724	0.04757791322815781	0.04765185687336611	0.047639841555243846	0.04764438972394835	0.04762395583040317	0.04759178116238668	0.047659542158206745	0.047638081343405005	0.04750012709075664	0.047558910242139485	0.04770122261460596
AH	99	Pixel	TS	0.04769370999468632	0.04759236746389033	0.04755995218833535	0.04762402591773322	0.047629201197202174	0.04761126320960985	0.047596579180043834	0.04763896318336881	0.04765580810765972	0.047618235383294856	0.04759121091602672	0.04764410990399157	0.047639841840430866	0.04763787403714727	0.047616553805879605	0.04758522637020527	0.04766665874167208	0.04763808162858149	0.04750012737510729	0.04755891052684203	0.047701299028291164
AH	100	Pixel	TS	0.047704183275747616	0.04759826740500671	0.04755221784317369	0.04761847728052592	0.047629199161443335	0.04761126117461771	0.04759657714567932	0.047632521936009864	0.047655806070763654	0.047613322257385536	0.047585307781816515	0.04765185512189785	0.047639839804217224	0.04763787200101773	0.04761655177066134	0.04758522433632599	0.047666656704312235	0.04763807959244308	0.0475001253448653	0.04755890849408754	0.04770774549800176
AH	101	Pixel	TS	0.04771709821668066	0.047592326002434175	0.04754506911739886	0.047618473352393824	0.047617860747772585	0.047603832611741864	0.04759657321935381	0.0476197696390671	0.04764919904937344	0.04761331832967869	0.04757870675065838	0.04765830691947611	0.04765442628568392	0.04764438404248505	0.04761654784268809	0.047585220410937	0.047673262072271815	0.04763807566269397	0.04750012142649627	0.047558904570869386	0.04771852372984506
AH	102	Pixel	AH	0.04771710207607228	0.04759826732832195	0.047558625760842056	0.047618477203808594	0.047622931121557834	0.047611261097912014	0.047596577068997274	0.04762622487326076	0.04765533944875096	0.04762514860195389	0.047577911402755434	0.04765185504512676	0.04762786010200012	0.04764438789599549	0.04762395400323429	0.047585224259662245	0.04767288799060194	0.047631852702454416	0.047500125268338654	0.04755890841746619	0.04769507833088676
AH	103	Pixel	AH	0.04771709778800755	0.047604615529728514	0.04755862148701869	0.04761847292460672	0.047635313178387456	0.04761125681935861	0.04760312332229095	0.04760561346083382	0.04766734208065193	0.047631447858787146	0.047565237918943626	0.0476657980662619	0.047621394735365814	0.04764438361446517	0.0475861321887634	0.04758521998344862	0.047704839529560804	0.047632831436794254	0.0475001209997724	0.04755299533331149	0.047688141743641076
AH	104	Pixel	AH	0.047712180433846216	0.0475982669743555	0.047558625407170395	0.04761847684969185	0.04762293076740797	0.04761126074384893	0.047596576715043394	0.04761929219609284	0.04765533909436009	0.047630060558202084	0.04757131496809816	0.047665234516612386	0.04762139866069178	0.04764438754168606	0.047623953649076824	0.04758522390579279	0.04767973369781763	0.047638079161431666	0.04750012491510204	0.047558908063792434	0.047688631179879114
AH	105	Pixel	AH	0.04771709966587463	0.047598264924126665	0.04755862335864907	0.04761847479859251	0.04762292871611678	0.04761125869306042	0.04758982085564039	0.0476128535926441	0.047655337041672956	0.047625146196400826	0.04757131291903025	0.04767216143439664	0.047621396609466585	0.04764438548947065	0.047623951597741576	0.047585221856125764	0.04769798256242071	0.0476266071838411	0.04750012286910054	0.04755890601525893	0.04768814362036862
AH	106	Pixel	AH	0.04771710073993552	0.047598265995512715	0.04755862442914283	0.04761847587043346	0.047629012177144915	0.04761125976473894	0.04760303318167596	0.04762138415499069	0.047667345029501866	0.04762514726839194	0.047571836100103786	0.047651853710817	0.047627858768362244	0.047644386561894826	0.04761141146852542	0.04758522292721823	0.04767773127417309	0.04763185136870475	0.047500123938277516	0.047552998275087584	0.047695076995366695
